User-ID,Friends,Tweets,Followers,Verified,Listed,Description,Image,Created-At,URL,Age
2612088990,173,20810,181,0,1,112,1,Tue Jul 08 18:12:54 +0000 2014,1,7
1215297247430053890,45,164,1547,0,6,40,1,Thu Jan 09 15:40:26 +0000 2020,1,1
1329242773527162880,494,822,336,0,0,132,1,Thu Nov 19 01:59:29 +0000 2020,0,1
1219457075039948804,396,21360,378,0,2,84,1,Tue Jan 21 03:10:07 +0000 2020,0,1
1427108923396411393,3095,12797,3351,0,0,58,1,Mon Aug 16 03:24:26 +0000 2021,1,0
902597213116702720,259,22279,1913,0,2,13,0,Tue Aug 29 18:21:59 +0000 2017,0,4
711174493394186242,1214,15034,1471,0,16,36,1,Sat Mar 19 12:56:27 +0000 2016,0,5
1399721246888189956,351,787,287,0,0,22,1,Tue Jun 01 13:38:12 +0000 2021,0,0
1400869406088044553,218,3513,186,0,0,54,1,Fri Jun 04 17:38:03 +0000 2021,0,0
2180970049,1704,11428,6476,0,56,92,1,Thu Nov 07 22:33:47 +0000 2013,1,8
1443893035574628384,84,1104,85,0,0,144,1,Fri Oct 01 10:58:34 +0000 2021,0,0
998362077868814336,13169,30196,13405,0,6,78,1,Mon May 21 00:37:22 +0000 2018,0,3
1361541895567134720,1,7,57,0,0,46,1,Tue Feb 16 05:04:27 +0000 2021,0,0
1226853239100002304,73,18744,775,0,2,22,1,Mon Feb 10 13:00:03 +0000 2020,1,1
25946575,1095,4709,118,0,5,160,0,Mon Mar 23 03:40:33 +0000 2009,0,12
793227587170471936,890,1806,67,0,0,149,1,Mon Oct 31 23:06:09 +0000 2016,0,5
889048640,723,708214,1051,0,266,82,1,Thu Oct 18 15:03:01 +0000 2012,0,9
1416391895048245248,22,60,1,0,0,8,1,Sat Jul 17 13:38:51 +0000 2021,0,0
1222191316236259328,275,4332,116,0,0,13,1,Tue Jan 28 16:15:17 +0000 2020,0,1
1329632560511520768,9,248,135,0,1,119,1,Fri Nov 20 03:48:35 +0000 2020,0,1
14413438,509,5191,264,0,7,157,0,Wed Apr 16 21:56:57 +0000 2008,0,13
1209702051917287424,313,21579,422,0,35,32,1,Wed Dec 25 05:07:16 +0000 2019,1,2
1067884129407180805,97,3246,88,0,0,24,1,Wed Nov 28 20:53:11 +0000 2018,0,3
2400498972,318,271,63,0,1,160,0,Thu Mar 20 21:58:01 +0000 2014,0,7
275246140,1126,1288,202,0,2,53,1,Thu Mar 31 22:32:16 +0000 2011,0,10
2562461708,221,27839,91,0,7,97,0,Thu Jun 12 01:59:32 +0000 2014,0,7
2311460791,1792,470820,225,0,3,152,1,Sun Jan 26 07:54:01 +0000 2014,0,7
1195320688334327808,1140,20124,629,0,1,156,1,Fri Nov 15 12:41:03 +0000 2019,0,2
2311050499,1138,90033,81,0,0,62,0,Sun Jan 26 02:26:22 +0000 2014,0,7
159052371,811,112516,114,0,4,133,0,Thu Jun 24 09:33:43 +0000 2010,0,11
271088520,976,28189,1604,0,0,94,0,Wed Mar 23 20:52:57 +0000 2011,1,10
1392926027081568258,773,30579,791,0,10,137,1,Thu May 13 19:33:54 +0000 2021,0,0
930505079769239552,567,43385,21192,0,60,73,1,Tue Nov 14 18:37:53 +0000 2017,0,4
1207622140096372738,2693,59076,2221,0,48,66,1,Thu Dec 19 11:22:19 +0000 2019,1,2
2958638495,274,11969,262,0,8,132,1,Sat Jan 03 15:53:26 +0000 2015,0,6
928408996008120326,63,6839,46,0,0,65,1,Wed Nov 08 23:48:48 +0000 2017,0,4
3102229574,2227,7536,3443,0,2,10,1,Sat Mar 21 22:59:45 +0000 2015,0,6
1447346151049596929,97,2,4,0,0,7,1,Sun Oct 10 23:40:19 +0000 2021,0,0
1387827988717244424,303,3354,259,0,4,33,1,Thu Apr 29 17:56:04 +0000 2021,0,0
3367090738,804,60744,1925,0,7,155,1,Thu Jul 09 03:40:15 +0000 2015,1,6
204862791,2883,245380,1730,0,58,157,1,Tue Oct 19 16:40:05 +0000 2010,1,11
117587721,2531,27657,486,0,2,160,0,Fri Feb 26 00:41:20 +0000 2010,0,11
1307727224557182984,247,163,10,0,2,17,1,Sun Sep 20 17:04:26 +0000 2020,0,1
236870573,1089,45769,890,0,6,82,1,Tue Jan 11 15:18:23 +0000 2011,1,10
446964129,1881,35335,635,0,11,135,0,Mon Dec 26 10:29:25 +0000 2011,1,10
1329452807477473285,383,6659,471,0,0,27,1,Thu Nov 19 15:53:59 +0000 2020,0,1
1233193350066515971,1806,3949,609,0,0,156,1,Fri Feb 28 00:53:10 +0000 2020,1,1
1342563744291946501,300,8489,345,0,7,40,1,Fri Dec 25 20:12:08 +0000 2020,0,1
290133027,1322,10707,569,0,0,46,0,Fri Apr 29 19:47:11 +0000 2011,0,10
1101485163496853504,206,4866,277,0,0,110,1,Fri Mar 01 14:11:42 +0000 2019,0,2
1143143453217492995,698,133,159,0,0,92,1,Mon Jun 24 13:06:52 +0000 2019,0,2
996242151427203072,324,911,269,0,0,28,0,Tue May 15 04:13:33 +0000 2018,0,3
1238723567518351360,40,40011,174,0,1,43,1,Sat Mar 14 07:08:50 +0000 2020,0,1
1372498183146852356,143,1343,122,0,0,2,1,Thu Mar 18 10:41:09 +0000 2021,1,0
1110025538532528128,80,853,222,0,0,12,1,Mon Mar 25 03:48:06 +0000 2019,0,2
1160543081193771010,60,2083,11,0,0,104,1,Sun Aug 11 13:26:47 +0000 2019,0,2
778900544,1787,10418,10188,1,208,159,1,Fri Aug 24 20:19:33 +0000 2012,1,9
707584440,856,14487,633,0,8,100,0,Fri Jul 20 18:27:19 +0000 2012,0,9
1460242706,279,7423,285,0,7,109,0,Sun May 26 17:47:20 +0000 2013,1,8
1336977890672599042,111,2484,189,0,1,30,1,Thu Dec 10 10:15:55 +0000 2020,1,1
1280087600343265281,2513,9668,2136,0,4,138,1,Mon Jul 06 10:34:20 +0000 2020,1,1
1394846249044545536,778,13058,20,0,0,87,1,Wed May 19 02:44:19 +0000 2021,0,0
1349320445728878592,252,5072,78,0,0,92,1,Wed Jan 13 11:40:52 +0000 2021,0,0
2921856735,529,2031,148,0,2,116,0,Sun Dec 14 20:00:13 +0000 2014,1,7
1220737870849347586,751,25806,476,0,3,30,1,Fri Jan 24 15:59:33 +0000 2020,1,1
719982836,835,525,140,0,0,54,1,Fri Jul 27 11:29:05 +0000 2012,0,9
1286091022989168640,2459,19171,7022,0,3,3,1,Thu Jul 23 00:10:38 +0000 2020,0,1
1220012065265459206,87,8313,26,0,1,54,1,Wed Jan 22 15:55:31 +0000 2020,0,1
1432911974631944194,1219,635,54,0,0,20,1,Wed Sep 01 03:43:44 +0000 2021,1,0
1339707577,725,93768,918,0,52,102,1,Tue Apr 09 17:05:29 +0000 2013,1,8
1443362759803031553,79,56,33,0,0,115,1,Wed Sep 29 23:51:24 +0000 2021,0,0
1381625223435329536,87,28299,6,0,0,3,1,Mon Apr 12 15:08:33 +0000 2021,0,0
1347072663496351746,2344,14327,4769,0,17,109,1,Thu Jan 07 06:49:09 +0000 2021,0,0
1403000516653682690,438,4573,463,0,10,15,1,Thu Jun 10 14:46:15 +0000 2021,0,0
54024497,36,4598,298,0,1,7,1,Sun Jul 05 22:18:21 +0000 2009,0,12
1086682808188395520,110,1090,12,0,0,54,1,Sat Jan 19 17:52:25 +0000 2019,0,2
892603626,1932,17674,2182,0,0,24,0,Sat Oct 20 06:27:22 +0000 2012,1,9
